type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
Movie;Crimson Peak;Guillermo del Toro;"""Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam, Jim Beaver, Burn Gorman, Leslie Hope, Doug Jones, Jonathan Hyde, Bruce Gray""";"""Canada, United States, Mexico""";"""April 16, 2021""";2015;R;119 min;"""Horror Movies, Romantic Movies, Sci-Fi & Fantasy""";"""After marrying a mysterious British aristocrat, a young heiress moves into his crumbling, creepy ancestral home and finds it conceals sinister secrets."""
TV Show;Explained;null;null;United States;"""July 16, 2021""";2021;TV-MA;3 Seasons;"""Docuseries, Science & Nature TV""";"""This enlightening series from Vox digs into a wide range of topics such as the rise of cryptocurrency, why diets fail, and the wild world of K-pop."""
TV Show;Johnny Test;null;"""James Arnold Taylor, Trevor Devall, Maryke Hendrikse, Emily Tennant""";"""United States, Canada""";"""July 16, 2021""";2021;TV-Y7;1 Season;"""Kids' TV, TV Comedies""";"""How much trouble could one imaginative boy, his faithful dog and two science-loving sisters possibly get into? Hmm, that sounds like a challenge!"""
Movie;Dance Dreams: Hot Chocolate Nutcracker;Oliver Bokelberg;Debbie Allen;United States;"""November 27, 2020""";2020;TV-PG;81 min;"""Children & Family Movies, Documentaries""";"This documentary spotlights Debbie Allen's career and follows her group of dance students as they prepare for Allen's annual \Hot Chocolate Nutcracker.\"""""
Movie;Dark City Beneath the Beat;TT The Artist;"""Uneek, Mighty Mark, Tsu Terry, TT The Artist""";United States;"""April 15, 2021""";2020;TV-MA;65 min;"""Documentaries, Music & Musicals""";"""In this documentary, TT the Artist captures the irrepressible bounce and infectious beats of a Baltimore club scene that demands to be seen and heard."""
Movie;Dark Skies;Scott Stewart;"""Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan""";United States;"""September 19, 2021""";2013;PG-13;97 min;"""Horror Movies, Sci-Fi & Fantasy""";"""A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."""
Movie;Deadly Switch;Svetlana Cvetko;"""Teri Polo, Dylan Walsh, Danika Yarosh, Hayley McLaughlin, Bryce Durfee, Matt Passmore, Heather Mazur, Ashlyn Pearce""";United States;"""May 10, 2021""";2019;TV-PG;86 min;"""Independent Movies, Thrillers""";"""In this indie thriller, a foreign exchange student moves in with her roommate's family who grieves over the daughter they would do anything to get back."""
TV Show;Never Have I Ever;null;"""Maitreyi Ramakrishnan, Poorna Jagannathan, Richa Moorjani, Jaren Lewison, Darren Barnet, John McEnroe, Ramona Young, Lee Rodriguez, Sendhil Ramamurthy, Adam Shapiro, Niecy Nash, Cocoa Brown, Lily D. Moore, Eddie Liu""";United States;"""July 15, 2021""";2021;TV-14;2 Seasons;"""TV Comedies, TV Dramas, Teen TV Shows""";"""After a traumatic year, all an Indian-American teen wants is to go from pariah to popular — but friends, family and feelings won’t make it easy on her."""
Movie;Dear John;Lasse Hallström;"""Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin McCulley, Jose Lucena Jr., Keith Robinson, Scott Porter""";United States;"""September 1, 2021""";2010;PG-13;108 min;"""Dramas, Romantic Movies""";"""While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together."""
TV Show;Atypical;null;"""Jennifer Jason Leigh, Keir Gilchrist, Michael Rapaport, Brigette Lundy-Paine, Amy Okuda, Jenna Boyd, Graham Rogers, Nik Dodani""";United States;"""July 9, 2021""";2021;TV-14;4 Seasons;"""TV Comedies, TV Dramas, Teen TV Shows""";"""When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery."""
Movie;Do the Right Thing;Spike Lee;"""Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, Giancarlo Esposito, Spike Lee, Bill Nunn, John Turturro, Paul Benjamin, Frankie Faison, Samuel L. Jackson, Rosie Perez, Martin Lawrence, Miguel Sandoval""";United States;"""September 1, 2021""";1989;R;120 min;"""Classic Movies, Comedies, Dramas""";"""On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy."""
TV Show;Virgin River;null;"""Alexandra Breckenridge, Martin Henderson, Tim Matheson, Annette O'Toole, Colin Lawrence, Jenny Cooper, Lauren Hammersley""";United States;"""July 9, 2021""";2021;TV-14;3 Seasons;"""Romantic TV Shows, TV Dramas""";"""Searching for a fresh start, a nurse practitioner moves from LA to a remote northern California town and is surprised by what – and who – she finds."""
Movie;Don’t Listen;Ángel Gómez Hernández;"""Rodolfo Sancho, Ana Fernández, Ramón Barea, Belén Fabra, Lucas Blas""";Spain;"""November 27, 2020""";2020;TV-MA;98 min;"""Horror Movies, International Movies""";"""After a tragic turn of events at the new home he's fixing up, Daniel hears a ghostly plea for help, spurring him to seek out a famous paranormal expert."""
TV Show;RESIDENT EVIL: Infinite Darkness;null;"""Nick Apostolides, Stephanie Panisello, Ray Chase, Jona Xiao, Billy Kametz, Joe J. Thomas, Doug Stone, Brad Venable, Toshiyuki Morikawa, Yuhko Kaida, Fumihiko Tachiki, Megumi Han, Kenji Nojima, Kazuhiko Inoue, Aruno Tahara, Mitsuru Ogata""";"""United States, Japan""";"""July 8, 2021""";2021;TV-MA;1 Season;"""Anime Series, TV Horror, TV Thrillers""";"""Years after the horrors of Raccoon City, Leon and Claire find themselves consumed by a dark conspiracy when a viral attack ravages the White House."""
Movie;Due Date;Todd Phillips;"""Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx, Juliette Lewis, Danny McBride, RZA, Matt Walsh""";United States;"""May 1, 2021""";2010;R;95 min;"""Action & Adventure, Comedies""";"""Days before his pregnant wife's due date, Peter lands on the \""no-fly\"" list, forcing him to drive across the country with an irritating slacker."""
TV Show;Chelsea;null;null;United States;"""July 6, 2021""";2017;TV-MA;2 Seasons;"""Stand-Up Comedy & Talk Shows, TV Comedies""";"""It's not her first talk show, but it is a first of its kind. Ideas, people and places that fascinate her, all in her unique style."""
TV Show;Derry Girls;null;"""Saoirse-Monica Jackson, Nicola Coughlan, Louisa Harland, Jamie-Lee O'Donnell, Dylan Llewellyn, Tara Lynne O'Neill, Kathy Kiera Clarke, Tommy Tiernan, Ian McElhinney, Siobhan McSweeney""";United Kingdom;"""July 6, 2021""";2019;TV-MA;2 Seasons;"""British TV Shows, International TV Shows, TV Comedies""";"""Amidst the political conflict of Northern Ireland in the 1990s, five high school students square off with the universal challenges of being a teenager."""
TV Show;Good Morning Call;null;"""Haruka Fukuhara, Shunya Shiraishi, Dori Sakurada, Moe Arai, Kentaro, Shugo Nagashima, Koya Nagasawa, Hinako Tanaka, Tomoharu Hasegawa, Tomoko Fujita, Erika Mori, Kei Tanaka, Yosuke Sugino, Maryjun Takahashi, Itsuki Sagara, Madoka Yoshida""";Japan;"""July 6, 2021""";2017;TV-14;2 Seasons;"""International TV Shows, Romantic TV Shows, TV Comedies""";"""A high school girl finally gets her own apartment, but she has to share it with the most popular boy in school. No one can know they're living together."""
TV Show;I AM A KILLER;null;null;United Kingdom;"""July 6, 2021""";2020;TV-MA;2 Seasons;"""British TV Shows, Crime TV Shows, Docuseries""";Death row inmates convicted of capital murder give a firsthand account of their crimes in this documentary series.
TV Show;Marcella;null;"""Anna Friel, Nicholas Pinnock, Sinéad Cusack, Nina Sosanya, Harry Lloyd, Laura Carmichael, Maeve Dermody, Ray Panthaki, Ian Puleston-Davies, Patrick Baladi, Florence Pugh, Jamie Bamber, Charlie Covell, Andrew Lancel, Jack Doolan, Tobias Santelmann, Stephen Lord, Ben Cura, Imogen Faires""";United Kingdom;"""July 6, 2021""";2019;TV-MA;3 Seasons;"""British TV Shows, Crime TV Shows, International TV Shows""";"""Her marriage just ended and she's returning to work as a London detective after 12 years away. Is the serial killer she once investigated back, too?"""
TV Show;Midnight Diner: Tokyo Stories;null;"""Kaoru Kobayashi, Joe Odagiri, Mansaku Fuwa, Reiko Kataoka, Koen Kondo, Bsaku Sato, Hirofumi Arai, Mamiko Itoh, Yuma Yamoto, Yoshinori Okada, Ah-sung Ko, Kosuke Toyohara, Yoshiyuki Morishita, Junko Miyashita, Tamaki Ogawa, Toru Kazama, Kotaro Shiga, Mitsuru Hirata, Toshiki Ayata, Shohei Uno, Tamae Ando, Risa Sudou, Asako Kobayashi, Takashi Yamanaka, Yutaka Matsushige, Ken Mitsuishi, Mikako Tabe, Kimiko Yo""";Japan;"""July 6, 2021""";2019;TV-MA;2 Seasons;"""International TV Shows, TV Dramas""";Patrons of an otherwise mundane Japanese diner find simple yet profound connections with one another based on the shared love of a particular dish.
TV Show;Orange Is the New Black;null;"""Taylor Schilling, Kate Mulgrew, Laura Prepon, Jason Biggs, Natasha Lyonne, Michael Harney, Uzo Aduba, Danielle Brooks, Samira Wiley, Dascha Polanco, Selenis Leyva, Nick Sandow, Yael Stone, Taryn Manning, Lea DeLaria, Matt McGorry, Emma Myles, Vicky Jeudy, Laverne Cox, Pablo Schreiber, Lori Petty, Ruby Rose, Adrienne C. Moore, Jackie Cruz, Elizabeth Rodriguez""";United States;"""July 6, 2021""";2019;TV-MA;7 Seasons;"""TV Comedies, TV Dramas""";"A privileged New Yorker ends up in a women's prison when a past crime catches up with her in this Emmy-winning series from the creator of \Weeds.\"""""
TV Show;Richie Rich;null;"""Jake Brennan, Joshua Carlon, Lauren Taylor, Jenna Ortega, Kiff VandenHeuvel, Brooke Wexler""";United States;"""July 6, 2021""";2015;TV-G;2 Seasons;"""Kids' TV, TV Comedies""";"""After turning his veggies into green energy, Richie Rich earns a trillion dollars overnight and a new life filled with nonstop fun and adventure."""
TV Show;Scream;null;"""Willa Fitzgerald, Bex Taylor-Klaus, John Karna, Amadeus Serafini, Connor Weil, Carlson Young, Jason Wiles, Tracy Middendorf, Tom Maden, Bobby Campo, Santiago Segura, Mike Vaughn""";United States;"""July 6, 2021""";2019;TV-MA;3 Seasons;"""Crime TV Shows, TV Horror, TV Mysteries""";"""In this new TV series sequel to the classic horror franchise, a cyberbullying incident in Lakewood leads to a murder with chilling echoes of the past."""
TV Show;Terrace House: Opening New Doors;null;"""You, Reina Triendl, Yoshimi Tokui, Azusa Babazono, Ryota Yamasato, Shono Hayama""";Japan;"""July 6, 2021""";2018;TV-14;6 Seasons;"""International TV Shows, Reality TV""";"""A group of young people – including a chef, a snowboarder and an ice hockey player – gather in the Karuizawa woods while pursuing their dreams."""
TV Show;The A List;null;"""Lisa Ambalavanar, Ellie Duckles, Savannah Baker, Cian Barry, Eleanor Bennett, Jacob Dudman, Rosie Dwyer, Jack Kane, Max Lohan, Nneka Okoye, Micheal Ward, Georgina Sadler, Indianna Ryan""";United Kingdom;"""July 6, 2021""";2021;TV-PG;2 Seasons;"""British TV Shows, International TV Shows, TV Dramas""";"""Romance, rivalry and radical mystery collide as a group of teens attend a remote island sleepaway camp in this suspenseful, supernatural drama."""
TV Show;The New Legends of Monkey;null;"""Chai Hansen, Luciane Buchanan, Josh Thomson, Emilie Cocquerel, Josh McKenzie, Jordan Mooney, Jarred Blakiston""";"""Australia, New Zealand""";"""July 6, 2021""";2020;TV-PG;2 Seasons;"""Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy""";A valiant girl liberates the Monkey King – a god long trapped in stone – in a quest to find seven sacred scrolls and save the world from evil.
TV Show;The Worst Witch;null;"""Bella Ramsey, Clare Higgins, Meibh Campbell, Raquel Cassidy, Jenny Richardson, Miriam Petche, Tallulah Milligan, Wendy Craig, Shauna Shim""";"""United Kingdom, Germany""";"""July 6, 2021""";2020;TV-G;4 Seasons;"""British TV Shows, Kids' TV""";"""After stumbling into a school for witches, a bumbling heroine comes to realize that she just might belong there. Based on Jill Murphy's beloved books."""
TV Show;Undercover;null;"""Tom Waes, Anna Drijver, Frank Lammers, Elise Schaap, Raymond Thiry, Kris Cuppens, Kevin Janssens, Huub Smit""";"""Belgium, Netherlands""";"""July 6, 2021""";2020;TV-MA;2 Seasons;"""Crime TV Shows, International TV Shows, TV Action & Adventure""";Undercover agents infiltrate a drug kingpin's operation by posing as a couple at the campground where he spends his weekends. Inspired by real events.
TV Show;YooHoo to the Rescue;null;"""Kira Buckland, Ryan Bartley, Bryce Papenbrook, Cassandra Morris, Lucien Dodge, Kyle Hebert""";South Korea;"""July 6, 2021""";2020;TV-Y;3 Seasons;"""Kids' TV, Korean TV Shows""";"""In a series of magical missions, quick-witted YooHoo and his can-do crew travel the globe to help animals in need."""
TV Show;Grey's Anatomy;null;"""Ellen Pompeo, Sandra Oh, Katherine Heigl, Justin Chambers, Patrick Dempsey, Chandra Wilson, T.R. Knight, James Pickens Jr., Isaiah Washington, Sara Ramirez, Eric Dane, Chyler Leigh, Kate Walsh, Kevin McKidd, Jessica Capshaw""";United States;"""July 3, 2021""";2020;TV-14;17 Seasons;"""Romantic TV Shows, TV Dramas""";Intern (and eventual resident) Meredith Grey finds herself caught up in personal and professional passions with fellow doctors at a Seattle hospital.
Movie;Escape from Planet Earth;Cal Brunker;"""Rob Corddry, Brendan Fraser, Sarah Jessica Parker, William Shatner, Jessica Alba, Jane Lynch, George Lopez, Sofía Vergara, Craig Robinson, Ricky Gervais, Steve Zahn, Chris Parnell""";"""United States, Canada""";"""April 3, 2021""";2013;PG;89 min;"""Children & Family Movies, Comedies, Sci-Fi & Fantasy""";"""This all-ages animated comedy follows the adventures of astronaut Scorch Supernova, a hero of the blue aliens who has a vast appetite for adventure."""
Movie;Ferris Bueller's Day Off;John Hughes;"""Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey, Cindy Pickett, Lyman Ward, Edie McClurg, Charlie Sheen, Kristy Swanson, Ben Stein, Del Close""";United States;"""August 1, 2021""";1986;PG-13;103 min;"""Classic Movies, Comedies, Cult Movies""";"""After faking an illness to skip school, popular teen Ferris Bueller enjoys a fun-filled day in Chicago with his girlfriend and his uptight best friend."""
Movie;Five Feet Apart;Justin Baldoni;"""Haley Lu Richardson, Cole Sprouse, Moisés Arias, Kimberly Hébert Gregory, Parminder Nagra, Claire Forlani, Emily Baldoni, Gary Weeks, Cynthia Evans""";United States;"""August 1, 2021""";2019;PG-13;116 min;"""Dramas, Romantic Movies""";A teen with cystic fibrosis shakes up her daily routine and challenges hospital protocol when she falls for a fellow patient.
TV Show;The Seven Deadly Sins;null;"""Yuki Kaji, Sora Amamiya, Misaki Kuno, Aoi Yuki, Tatsuhisa Suzuki, Jun Fukuyama, Mamoru Miyano, Maaya Sakamoto""";Japan;"""June 28, 2021""";2021;TV-14;5 Seasons;"""Anime Series, International TV Shows""";"""When a kingdom is taken over by tyrants, the deposed princess begins a quest to find a disbanded group of evil knights to help take back her realm."""
Movie;Get on Up;Tate Taylor;"""Chadwick Boseman, Nelsan Ellis, Dan Aykroyd, Viola Davis, Lennie James, Fred Melamed, Craig Robinson, Jill Scott, Octavia Spencer, Jacinte Blankenship""";"""United Kingdom, United States""";"""March 16, 2021""";2014;PG-13;139 min;"""Dramas, Music & Musicals""";Music legend James Brown makes a turbulent journey from humble origins to superstardom as the Godfather of Soul in this biopic starring Chadwick Boseman.
TV Show;Sex/Life;null;"""Sarah Shahi, Mike Vogel, Adam Demos, Margaret Odette""";United States;"""June 25, 2021""";2021;TV-MA;1 Season;"""Romantic TV Shows, TV Dramas""";A woman's daring sexual past collides with her married-with-kids present when the bad-boy ex she can't stop fantasizing about crashes back into her life.
Movie;Ghost Lab;Paween Purijitpanya;"""Thanapob Leeratanakachorn, Paris Intarakomalyasut, Nuttanicha Dungwattanawanich, Suquan Bulakul, Rachanee Siralert, Chaleeda Gilbert, Nuttawut Jenmana, Alanta Potjes, Anchuleeon Buagaew, Jinjuta Rattanaburi""";Thailand;"""May 27, 2021""";2021;TV-MA;118 min;"""Horror Movies, International Movies, Thrillers""";"""After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist."""
Movie;Gimme Shelter;Ron Krauss;"""Vanessa Hudgens, James Earl Jones, Rosario Dawson, Ann Dowd, Stephanie Szostak, Emily Meade, Brendan Fraser, Dascha Polanco""";United States;"""January 1, 2021""";2013;PG-13;101 min;"""Dramas, Independent Movies""";"""After running away from her abusive mother, a streetwise teen seeks refuge with her father, but he rejects her when he learns that she's pregnant."""
TV Show;Too Hot to Handle;null;Desiree Burch;United States;"""June 23, 2021""";2021;TV-MA;2 Seasons;"""Reality TV, Romantic TV Shows""";"""On the shores of paradise, gorgeous singles meet and mingle. But there’s a twist. To win a $100,000 grand prize, they’ll have to give up sex."""
TV Show;The Mole;null;Anderson Cooper;United States;"""June 21, 2021""";2001;TV-14;2 Seasons;"""Reality TV, TV Action & Adventure, TV Mysteries""";"""In this competition show, contestants try to earn $1 million for a pot that only one of them will win — while one player secretly sabotages them."""
TV Show;Black Lightning;null;"""Cress Williams, James Remar, Marvin 'Krondon' Jones III, Jill Scott, China Anne McClain, Damon Gupton, Nafessa Williams, Christine Adams""";United States;"""June 19, 2021""";2021;TV-14;4 Seasons;"""TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy""";School principal and retired superhero Jefferson Pierce leaps back into action as the legendary Black Lightning after a gang threatens his family.
TV Show;Glee;null;"""Lea Michele, Chris Colfer, Jane Lynch, Matthew Morrison, Cory Monteith, Naya Rivera, Kevin McHale, Jenna Ushkowitz, Amber Riley, Mark Salling, Heather Morris, Harry Shum Jr., Jayma Mays, Dianna Agron""";United States;"""June 19, 2021""";2015;TV-14;6 Seasons;"""TV Comedies, TV Dramas, Teen TV Shows""";"""Amid relationship woes and personal attacks from a wicked cheerleading coach, a teacher fights to turn underdog glee club members into winners."""
TV Show;REA(L)OVE;null;"""Atsushi Tamura, Mari Yaguchi""";Japan;"""June 19, 2021""";2018;TV-MA;1 Season;"""International TV Shows, Reality TV, Romantic TV Shows""";"""A group of men and women, each burdened with a dark secret, look for love in this dating show with a twist. Hosted by reformed playboy Atsushi Tamura."""
TV Show;Riverdale;Rob Seidenglanz;"""K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse, Marisol Nichols, Madelaine Petsch, Ashleigh Murray, Mädchen Amick, Luke Perry, Casey Cott, Charles Melton, Mark Consuelos, Lochlyn Munro, Peter Bryant, Colin Lawrence, Molly Ringwald, Asha Bromfield, Barclay Hope, Hayley Law, Martin Cummins, Sarah Habel, Nathalie Boltt, Skeet Ulrich""";United States;"""June 19, 2021""";2019;TV-14;4 Seasons;"""Crime TV Shows, TV Dramas, TV Mysteries""";"""While navigating the troubled waters of sex, romance, school and family, teen Archie and his gang become entangled in a dark Riverdale mystery."""
TV Show;The Assassination of Gianni Versace;null;"""Edgar Ramírez, Darren Criss, Ricky Martin, Penélope Cruz""";United States;"""June 19, 2021""";2018;TV-MA;1 Season;"""Crime TV Shows, TV Dramas, TV Thrillers""";"""Defining moments in Andrew Cunanan's life, starting in childhood, lead up to a 1997 murder spree that kills five, including fashion icon Gianni Versace."""
TV Show;They've Gotta Have Us;Simon Frederick;"""Debbie Allen, Harry Belafonte, John Boyega, Diahann Carroll, Ernest R. Dickerson, Laurence Fishburne, Nelson George, Whoopi Goldberg, Cuba Gooding Jr., LilRel Howery, Barry Jenkins, Kasi Lemmons, David Oyelowo, Robert Townsend, Jesse Williams""";United Kingdom;"""June 19, 2021""";2018;TV-MA;1 Season;"""British TV Shows, Docuseries""";"""Powered by candid recollections from esteemed African-American entertainers, this docuseries traces the history of black cinema."""
Movie;Good Luck Chuck;Mark Helfrich;"""Dane Cook, Jessica Alba, Dan Fogler, Ellia English, Sasha Pieterse, Annie Wood, Lonny Ross, Chelan Simmons, Simone Bailly, Jodelle Ferland, Crystal Lowe, Troy Gentile, Georgia Craig, Michelle Harrison, Chiara Zanni""";"""United States, Canada""";"""August 1, 2021""";2007;R;99 min;"""Comedies, Romantic Movies""";"""Every time Chuck breaks up with a girlfriend, she ends up engaged to her next boyfriend. Soon, women are dating Chuck in hopes of meeting Mr. Right."""
Movie;Green Lantern;Martin Campbell;"""Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett""";United States;"""September 1, 2021""";2011;PG-13;114 min;"""Action & Adventure, Sci-Fi & Fantasy""";Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
TV Show;Black Summer;null;"""Jaime King, Justin Chu Cary, Christine Lee, Sal Velez Jr., Kelsey Flower, Erika Hau, Edsson Morales, Gwynyth Walsh, Stafford Perry, Mustafa Alabssi""";"""Canada, United States""";"""June 17, 2021""";2021;TV-MA;2 Seasons;"""TV Action & Adventure, TV Dramas, TV Horror""";"""In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones."""
Movie;Hachi: A Dog's Tale;Lasse Hallström;"""Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer, Jason Alexander, Erick Avari, Davenia McFadden, Robbie Sublett, Kevin DeCoste, Rob Degnan""";"""United Kingdom, United States""";"""May 1, 2021""";2009;G;93 min;"""Children & Family Movies, Dramas""";"""When his master dies, a loyal pooch named Hachiko keeps a vigil for more than a decade at the train station where he once greeted his owner every day."""
TV Show;Avengers Climate Conundrum;null;"""Giles Panton, Michael Daingerfield, Bill Newton, James Blight, Nicole Oliver, Adrian Petriw, Alex Barima, Rebecca Shoichet""";United States;"""June 15, 2021""";2020;TV-Y7;1 Season;"""Kids' TV, TV Comedies""";"""When a mysterious force steals Tony Stark’s weather machine to wreak havoc on the world, the Avengers must survive the extreme storms to save the day."""
TV Show;Lupin;null;"""Omar Sy, Ludivine Sagnier, Clotilde Hesme, Nicole Garcia, Hervé Pierre, Soufiane Guerrab, Antoine Gouy, Fargass Assandé, Vincent Londez, Shirine Boutella""";"""France, United States""";"""June 11, 2021""";2021;TV-MA;2 Seasons;"""Crime TV Shows, International TV Shows, TV Action & Adventure""";"""Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family."""
TV Show;Trese;Jay Oliva;"""Shay Mitchell, Liza Soberano, Jon Jon Briones, Darren Criss, Manny Jacinto, Dante Basco, Nicole Scherzinger, Lou Diamond Phillips, Steve Blum""";"""Philippines, Singapore, Indonesia""";"""June 11, 2021""";2021;TV-MA;1 Season;"""Anime Series, Crime TV Shows, TV Horror""";"""In Manila, where dark supernatural forces pervade the criminal underworld, it’s up to Alexandra Trese to keep the peace — but there’s a storm brewing."""
Movie;His House;Remi Weekes;"""Ṣọpẹ́ Dìrísù, Wunmi Mosaku, Matt Smith, Malaika Wakoli-Abigaba""";United Kingdom;"""October 30, 2020""";2020;TV-14;93 min;"""Horror Movies, Independent Movies""";"""As a young couple from war-torn South Sudan seeks asylum and a fresh start in England, they’re tormented by a sinister force living in their new home."""
Movie;Home Again;Hallie Meyers-Shyer;"""Reese Witherspoon, Michael Sheen, Candice Bergen, Nat Wolff, Jon Rudnitsky, Pico Alexander, Lake Bell, Reid Scott, Dolly Wells, Lola Flanery, Eden Grace Redfield, P.J. Byrne""";United States;"""July 8, 2021""";2017;PG-13;97 min;"""Comedies, Dramas, Romantic Movies""";"""A newly single mom takes in three young male filmmakers as boarders, but her estranged husband returns to complicate her new, unconventional life."""
Movie;HOMUNCULUS;Takashi Shimizu;"""Go Ayano, Ryo Narita, Yukino Kishii, Anna Ishii, Seiyo Uchino""";Japan;"""April 22, 2021""";2021;TV-MA;116 min;"""Horror Movies, International Movies, Thrillers""";Truth and illusion blurs when a homeless amnesiac awakens from an experimental medical procedure with the ability to see people's innermost traumas.
Movie;Hospital;Brody Chu;"""Lin Po-Hung, Tai Bo, Jacqueline Zhu, Lei Hong, Hsu Lichi, Yoko Young, Samuel Gu, Eunice Lin""";Taiwan;"""March 20, 2021""";2020;TV-MA;90 min;"""Horror Movies, International Movies""";"""In an abandoned hospital in Tainan, visitors seeking to communicate with their relatives' spirits are haunted by disturbing, supernatural occurrences."""
Movie;Hostel: Part III;Scott Spiegel;"""Kip Pardue, Brian Hallisay, John Hensley, Sarah Habel, Chris Coy, Skyler Stone, Thomas Kretschmann, Zulay Henao, Nickola Shreli, Derrick Carr""";United States;"""June 2, 2021""";2011;R;88 min;"""Cult Movies, Horror Movies""";"""In this installment in the popular horror franchise, a bachelor party in Las Vegas turns into a hellish bloodbath for all involved."""
TV Show;Feel Good;Ally Pankiw;"""Mae Martin, Charlotte Ritchie, Lisa Kudrow, Sophie Thompson, Tom Andrews, Tobi Bamtefa, Phil Burgers, Ophelia Lovibond, Adrian Lukis, Ritu Arya, Ramon Tikaram""";United Kingdom;"""June 4, 2021""";2021;TV-MA;2 Seasons;"""Romantic TV Shows, TV Comedies, TV Dramas""";"""Stand-up comic Mae Martin navigates a passionate, messy new relationship with her girlfriend, George, while dealing with the challenges of sobriety."""
Movie;House Party;Reginald Hudlin;"""Christopher Reid, Christopher Martin, Robin Harris, Tisha Campbell, A.J. Johnson, Martin Lawrence, Paul Anthony, Bowlegged Lou, B-Fine, Edith Fields, Kelly Jo Minter, Clifton Powell, Verda Bridges""";United States;"""September 1, 2021""";1990;R;104 min;"""Comedies, Cult Movies""";"""Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another."""
TV Show;Sweet Tooth;null;"""Nonso Anozie, Christian Convery, Adeel Akhtar, Stefania LaVie Owen, Dania Ramirez, Aliza Vellani, Will Forte, James Brolin, Neil Sandilands, Mia Artemis""";United States;"""June 4, 2021""";2021;TV-14;1 Season;"""TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy""";"""On a perilous adventure across a post-apocalyptic world, a lovable boy who's half-human and half-deer searches for a new beginning with a gruff protector."""
Movie;I Care a Lot;J Blakeson;"""Rosamund Pike, Peter Dinklage, Eiza González, Dianne Wiest, Chris Messina, Isiah Whitlock Jr., Macon Blair, Alicia Witt, Damian Young""";"""United Kingdom, United States""";"""February 19, 2021""";2021;R;118 min;"""Comedies, LGBTQ Movies, Thrillers""";A court-appointed legal guardian defrauds her older clients and traps them under her care. But her latest mark comes with some unexpected baggage.
TV Show;Summertime;null;"""Coco Rebecca Edogamhe, Ludovico Tersigni, Amanda Campana, Andrea Lattanzi, Giovanni Maini, Alicia Ann Edogamhe, Thony""";Italy;"""June 3, 2021""";2021;TV-MA;2 Seasons;"""International TV Shows, Romantic TV Shows, TV Dramas""";Two young adults from very different backgrounds fall in love during a summer on Italy’s Adriatic Coast. Inspired by Federico Moccia's book series.
Movie;If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd;Stephen Kijak;"""Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant""";United States;"""September 7, 2021""";2018;TV-MA;97 min;"""Documentaries, Music & Musicals""";"""Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."""
TV Show;Attack on Titan;null;"""Yuki Kaji, Yui Ishikawa, Marina Inoue, Kisho Taniyama, Yu Shimamura, Yu Kobayashi, Shiori Mikami, Hiro Shimono, Ryota Osaka, Yoshimasa Hosoya, Tomohisa Hashizume, Saki Fujita, Hiroshi Kamiya, Daisuke Ono, Romi Park, Keiji Fujiwara, Kazuhiro Yamaji, Yusaku Yara, Takehito Koyasu""";Japan;"""June 2, 2021""";2013;TV-MA;1 Season;"""Anime Series, International TV Shows""";"""With his hometown in ruins, young Eren Yeager becomes determined to fight back against the giant Titans that threaten to destroy the human race."""
